Ghazal ,Meter
"naqsh faryādī hai kis kī shoḳhī-e taḥrīr kā
kāġhażī hai pairahan har paikar-e taṣvīr kā",G1
"
jarāḥat tuḥfah almās armuġhāñ dāġh-e jigar hadyah
mubārak bād asad ġham-ḳhvār-e jān-e dard-mand āyā",G2
"juz qais aur koʾī nah āyā bah rū-e kār
ṣaḥrā magar bah tangī-e chashm-e ḥasūd thā",G3
"kahte ho nah deñge ham dil agar paṛā pāyā
dil kahāñ kih gum kīje ham ne muddaʿā pāyā",G4
"dil mirā soz-e nihāñ se be-muḥābā jal gayā
ātish-e ḳhāmosh ke mānind goyā jal gayā",G1
"shauq har rang raqīb-e sar-o-sāmāñ niklā
qais taṣvīr ke parde meñ bhī ʿuryāñ niklā",G5
"dhamkī meñ mar gayā jo nah bāb-e nabard thā
ʿishq-e nabard-peshah t̤alabgār-e mard thā",G3
"shumār-e subḥah marġhūb-e but-e mushkil-pasand āyā
tamāshā-e bah yak-kaf burdan-e ṣad dil pasand āyā",G2
"dahr meñ naqsh-e vafā vaj'h-e tasallī nah huʾā
hai yih vuh lafz̤ kih sharmindah-e maʿnī nah huʾā",G5
"satāyish-gar hai zāhid is qadar jis bāġh-e riẓvāñ kā
vuh ik guldastah hai ham be-ḳhvudoñ ke t̤āq-e nisyāñ kā",G2
"nah hogā yak-bayābāñ māñdagī se żauq kam merā
ḥabāb-e maujah-e raftār hai naqsh-e qadam merā",G2
"sarāpā rahn-e ʿishq-o-nā-guzīr-e ulfat-e hastī
ʿibādat barq kī kartā hūñ aur afsos ḥāṣil kā",G2
"maḥram nahīñ hai tū hī navāhā-e rāz kā
yāñ varnah jo ḥijāb hai pardah hai sāz kā",G3
"bazm-e shāhinshāh meñ ashʿār kā daftar khulā
rakhyo yā rab yih dar-e ganjīnah-e gauhar khulā",G1
"shab kih barq-e soz-e dil se zahrah-e abr āb thā
shuʿlah-e javvālah har ik ḥalqah-e girdāb thā",G1
"ek ek qat̤re kā mujhe denā paṛā ḥisāb
ḳhūn-e jigar vadīʿat-e mizhgān-e yār thā",G3
"baskih dushvār hai har kām kā āsāñ honā
ādmī ko bhī muyassar nahīñ insāñ honā",G5
"shab ḳhumār-e shauq-e sāqī rastḳhez-andāzah thā
tā muḥīt̤-e bādah ṣūrat-ḳhānah-e ḳhamyāzah thā",G1
"dost ġham-ḳhvārī meñ merī saʿī farmāveñge kyā
zaḳhm ke bharne talak nāḳhun nah baṛh jāveñge kyā",G1
"yih nah thī hamārī qismat kih viṣāl-e yār hotā
agar aur jīte rahte yihī intiz̤ār hotā",G6
"havas ko hai nishāt̤-e kār kyā kyā
nah ho marnā to jīne kā mazā kyā",G7
"dar-ḳhvur-e qahr-o-ġhaẓab jab koʾī ham sā nah huʾā
phir ġhalat̤ kyā hai kih ham-sā koʾī paidā nah huʾā",G5
"asad ham vuh junūñ-jaulāñ gadā-e be-sar-o-pā haiñ
kih hai sar-panjah-e mizhgān-e āhū pusht-ḳhār apnā",G2
"paʾe nażr-e karam tuḥfah hai sharm-e nā-rasāʾī kā
bah ḳhūñ-ġhaltīdah-e ṣad-rang daʿvâ pārsāʾī kā",G2
"gar nah andoh-e shab-e furqat bayāñ ho jāʾegā
be-takalluf dāġh-e mah muhr-e dahāñ ho jāʾegā",G1
"dard minnat-kash-e davā nah huʾā
maiñ nah achchhā huʾā burā nah huʾā",G8
"gilah hai shauq ko dil meñ bhī tangī-e jā kā
guhar meñ maḥv huʾā iẓt̤irāb daryā kā",G9
"qat̤rah-e mai baskih ḥairat se nafas-parvar huʾā
ḳhat̤t̤-e jām-e mai sarāsar rishtah-e gauhar huʾā",G1
"jab bah taqrīb-e safar yār ne maḥmil bāñdhā
tapish-e shauq ne har żarre pah ik dil bāñdhā",G5
"maiñ aur bazm-e mai se yūñ tishnah-kām āʾūñ
gar maiñ ne kī thī taubah sāqī ko kyā huʾā thā",G10
"ghar hamārā jo nah rote bhī to vīrāñ hotā
baḥr gar baḥr nah hotā to bayābāñ hotā",G5
"nah thā kuchh to ḳhudā thā kuchh nah hotā to ḳhudā hotā
ḍuboyā mujh ko hone ne nah hotā maiñ to kyā hotā",G2
"yak żarrah-e zamīñ nahīñ bekār bāġh kā
yāñ jādah bhī fatīlah hai lāle ke dāġh kā",G3
"vuh mirī chīn-e jabīñ se ġham-e pinhāñ samjhā
rāz-e maktūb bah be-rabt̤ī-e ʿunvāñ samjhā",G5
"phir mujhe dīdah-e tar yād āyā
dil jigar-tishnah-e faryād āyā",G11
"huʾī tāḳhīr to kuchh bāʿiṡ-e tāḳhīr bhī thā
āp āte the magar koʾī ʿināñ-gīr bhī thā",G5
"lab-e ḳhushk dar-tishnagī-murdagāñ kā
ziyārat-kadah hūñ dil-āzurdagāñ kā",G12
"tū dost kisī kā bhī sitamgar nah huʾā thā
auroñ pah hai vuh z̤ulm kih mujh par nah huʾā thā",G13
"shab kih vuh majlis-furoz-e ḳhalvat-e nāmūs thā
rishtah-e har shamʿa ḳhār-e kisvat-e fānūs thā",G1
"āʾīnah dekh apnā-sā muñh le ke rah gaye
ṣāḥib ko dil nah dene pah kitnā ġhurūr thā",G3
"arẓ-e niyāz-e ʿishq ke qābil nahīñ rahā
jis dil pah nāz thā mujhe vuh dil nahīñ rahā",G3
"rashk kahtā hai kih us kā ġhair se iḳhlāṣ ḥaif
ʿaql kahtī hai kih vuh be-mihr kis kā āshnā",G1
